Generation,Best_F,Mean_F,Fittest_ID,Highest_Count,Most_Common_ID,Highest_Mem,Mean_Mem,Most_Mem_ID
0,297699.300,291606.725,168,537,169,3,3.000,47
1,316683.300,293895.500,161,531,69,3,2.999,47
2,324903.300,299644.350,161,539,57,3,2.999,48
3,337400.300,307335.495,161,557,169,3,2.999,47
4,345569.300,313599.040,161,562,169,3,3.000,49
5,351184.300,317694.948,161,576,69,3,3.000,47
6,353749.300,319089.481,161,570,169,3,3.000,47
7,361423.300,324743.787,161,583,169,3,3.000,47
8,364806.300,327150.093,161,589,169,3,3.000,45
9,367516.300,327847.316,161,586,169,3,3.000,45
10,371462.300,328592.910,161,605,169,3,3.000,45
11,377707.300,332203.180,161,615,169,3,3.000,45
12,379825.300,334793.613,161,608,169,3,3.000,45
13,391319.300,339652.551,161,639,169,3,3.000,45
14,395388.300,342536.916,161,648,169,3,3.000,45
15,394899.300,343065.831,161,638,169,3,3.000,45
16,400594.300,344561.986,161,667,169,3,3.000,45
17,401852.300,344252.735,161,668,169,3,3.000,45
18,402554.300,344886.089,161,666,169,3,3.000,45
19,398616.300,343315.150,161,649,169,3,3.000,45
20,398103.300,342340.591,161,649,169,3,3.000,45
21,404167.300,340882.694,145,653,169,3,2.999,45
22,404677.300,336315.618,145,634,169,3,2.999,45
23,390386.300,328503.019,145,549,169,3,3.000,45
24,378387.300,323094.934,145,511,169,3,3.000,45
25,371444.300,320456.041,111,489,169,3,3.000,45
26,376300.300,320339.332,111,453,169,3,3.000,45
27,364684.300,313862.301,111,425,69,3,3.000,45
28,349312.300,305739.280,111,421,57,3,3.000,45
29,337824.300,299512.589,111,437,57,3,3.000,45
30,325976.300,295054.981,109,467,57,3,3.000,45
31,321092.300,293591.415,111,465,57,3,3.000,45
32,311767.300,290640.483,57,494,57,3,3.000,45
33,311284.300,289002.067,57,517,57,3,3.000,45
34,309978.300,287346.061,57,561,57,4,3.001,457
35,304502.300,282494.083,57,641,57,3,3.000,45
36,305447.300,285160.058,57,674,57,3,3.000,45
37,306580.300,287047.286,57,703,57,3,3.000,45
38,304251.300,286104.489,57,787,57,3,3.000,45
39,305284.300,288921.078,57,844,57,3,3.000,45
40,309916.300,292739.449,169,889,57,3,3.000,45
41,318805.300,296468.518,165,926,57,4,3.001,201
42,325261.300,300842.136,165,962,57,4,3.001,201
43,331502.300,301414.641,168,972,57,4,3.002,201
44,337610.300,304964.223,165,972,57,4,3.002,201
45,340857.300,308736.903,169,953,57,4,3.005,201
46,345127.300,307285.472,165,1003,57,4,3.002,201
47,360333.400,308412.893,417,1003,57,4,3.003,201
48,363654.400,311262.089,417,1017,57,4,3.003,201
49,365000.400,313145.501,417,1027,57,4,3.003,201
50,366892.400,316672.575,417,1008,57,4,3.003,201
51,366986.400,315703.149,417,1034,57,4,3.004,201
52,366012.400,314013.696,417,1023,57,4,3.005,201
53,368214.400,319079.681,417,974,57,4,3.006,201
54,369977.400,323881.626,417,947,57,4,3.008,201
55,369984.400,327829.078,417,903,57,4,3.010,193
56,370274.400,330246.231,413,888,57,4,3.010,193
57,371584.400,334518.888,417,828,57,4,3.011,417
58,371064.400,336096.538,417,802,57,4,3.010,401
59,370831.400,334738.054,417,820,57,4,3.011,193
60,369695.400,334421.929,417,828,57,4,3.009,417
61,369338.400,333320.058,413,831,57,4,3.006,413
62,370016.400,336429.274,413,820,57,4,3.006,413
63,367597.400,334872.712,413,818,57,4,3.004,413
64,367931.400,335981.986,413,809,57,4,3.005,413
65,366238.400,336909.975,417,774,57,4,3.006,417
66,370192.300,339830.836,161,745,57,4,3.010,417
67,365718.300,338726.046,161,760,57,4,3.013,417
68,367155.300,338474.811,161,749,57,4,3.010,417
69,371742.300,340325.199,161,678,57,4,3.010,417
70,373485.300,339544.913,145,656,57,4,3.010,417
71,373632.300,339709.236,145,667,57,4,3.010,289
